ID,assessment-result,reflection-length,item-1,item-2,item-3,item-4,item-5,item-6,item-7,item-8,item-9,item-10,item-11,item-12,item-13
187,2,92,2,1,1,2,1,1,2,2,1,2,0,2,0
188,3,86,1,2,1,1,2,2,1,2,1,2,1,1,1
189,2,5,2,1,1,1,1,1,2,1,1,0,1,2,1
190,3,69,1,1,1,1,2,2,2,2,1,2,2,1,1
191,3,52,1,1,2,1,1,1,2,1,2,2,2,1,1
192,3,69,1,2,1,1,1,2,2,1,2,2,2,1,2
193,3,105,2,2,2,2,2,2,1,2,1,1,1,1,1
194,4,42,2,2,1,1,1,2,1,1,2,1,2,1,2
195,2,60,2,1,2,2,2,1,2,1,2,1,1,1,1
196,3,41,2,2,2,2,1,2,1,2,2,2,1,1,1
197,3,74,2,2,2,2,1,1,1,1,1,1,1,1,1
198,3,0,1,2,1,2,1,2,2,2,2,1,1,1,2
199,2,38,1,1,1,1,1,1,1,1,1,1,1,1,1
200,3,40,1,2,1,1,1,2,2,1,2,1,2,1,1
201,3,0,1,2,2,1,2,2,2,1,2,1,2,2,2
202,3,49,2,2,1,2,2,2,2,2,2,2,2,1,1
203,4,90,1,2,2,1,1,2,2,2,2,1,2,1,1
204,3,72,1,1,1,2,1,2,1,1,2,2,2,2,2
205,2,21,1,1,1,1,1,1,1,1,1,1,1,0,1
206,4,89,2,2,2,2,2,2,2,2,2,2,2,2,2
207,1,8,1,0,0,0,0,0,1,1,1,0,1,1,0
208,2,97,1,2,1,1,1,2,2,1,2,2,1,1,1
209,4,28,2,2,2,2,2,2,2,2,2,2,2,2,2
210,3,43,1,1,1,1,2,2,2,2,2,1,1,1,1
211,2,84,2,1,0,1,1,1,1,1,1,2,1,1,1
212,3,118,1,2,1,1,1,2,2,1,2,2,1,1,1
213,3,95,2,2,1,2,2,2,2,2,2,2,1,1,1
214,3,99,2,2,1,1,2,1,1,0,1,1,0,1,0
215,3,86,1,2,2,2,2,2,2,2,2,2,2,2,2
216,2,0,1,1,1,2,2,2,2,2,1,1,2,1,1
217,2,67,1,1,1,1,1,0,0,1,1,1,1,1,1
218,3,14,1,1,1,1,1,1,1,1,0,1,1,1,1
219,3,0,1,1,1,1,2,2,2,1,1,1,1,2,1
220,2,122,1,1,1,2,2,1,2,1,2,0,1,1,1
221,3,133,1,2,0,2,2,2,2,2,2,2,1,2,1
222,3,37,2,2,2,2,1,1,2,1,2,1,1,2,1
223,3,144,1,2,2,2,2,2,1,2,2,2,2,2,2
224,3,19,2,2,2,2,2,2,1,2,2,2,1,0,1
225,2,43,1,2,1,2,1,2,2,2,2,2,1,1,2
226,2,113,1,2,1,2,2,2,2,2,2,2,2,2,1
227,2,95,2,1,1,1,1,1,1,1,2,1,1,1,1
228,2,68,2,1,1,2,1,2,1,1,2,1,1,2,1
229,3,51,2,2,1,2,2,2,2,2,1,1,1,1,2
230,2,118,1,2,1,1,1,1,2,1,1,1,1,1,1
231,3,71,2,1,2,1,1,1,2,2,2,2,2,1,1
232,2,152,1,1,1,2,1,1,1,1,1,1,1,1,1
233,3,10,2,2,2,2,2,2,2,2,2,2,1,1,2
234,4,11,2,2,2,2,2,2,2,2,2,2,1,2,1
235,2,0,2,2,1,2,1,2,2,2,1,2,2,2,2
236,4,88,2,2,2,1,2,2,1,2,2,2,2,1,1
237,3,60,2,1,2,2,1,2,2,2,2,1,2,2,2
238,2,9,2,1,2,1,1,1,2,2,1,2,2,2,2
239,2,35,1,1,1,0,0,1,1,1,1,1,1,1,1
240,1,29,1,1,1,1,2,1,1,1,1,1,1,1,1
241,3,13,1,1,1,2,1,2,2,1,2,2,1,2,2
242,2,92,2,1,0,1,1,1,1,1,1,1,1,2,1
243,3,61,1,1,1,1,1,1,1,1,2,1,1,1,1
244,4,100,2,2,1,1,2,2,2,2,2,2,2,2,2
245,4,80,2,2,2,2,1,2,1,1,2,1,2,2,2
246,2,72,1,1,0,1,1,1,2,2,1,2,2,2,2
247,2,96,2,2,2,2,1,1,2,1,2,2,1,2,1
248,2,101,1,1,1,1,1,1,1,1,1,1,1,1,1
249,4,113,1,2,1,2,2,2,2,2,2,1,2,1,1
250,3,89,2,2,1,2,2,2,2,2,1,1,1,1,1
251,3,29,2,1,1,1,1,1,1,1,1,1,1,1,1
252,2,67,1,1,1,1,1,1,1,1,1,1,1,0,0
253,4,101,2,2,2,2,2,2,2,2,2,2,2,2,1
254,2,29,1,1,1,1,1,1,2,1,0,1,1,1,0
255,4,72,2,2,2,1,2,2,2,2,1,2,2,2,1
256,4,90,1,1,2,2,1,2,2,2,2,2,2,2,2
257,4,132,1,2,2,2,2,2,2,2,2,1,1,2,2
258,2,0,1,1,1,1,1,2,1,1,1,1,0,1,1
259,2,27,0,1,1,1,1,1,1,1,1,1,1,1,1
260,3,88,1,1,1,2,1,1,2,2,2,2,2,2,2
261,4,158,2,2,1,2,2,2,2,2,1,1,1,2,1
262,3,33,1,1,1,1,1,0,1,0,1,0,1,1,1
263,3,33,2,2,2,2,2,2,2,2,2,2,2,2,1
264,3,96,1,2,2,2,1,2,2,1,2,1,2,2,1
265,3,83,1,2,2,2,2,2,2,2,2,1,2,1,1
266,3,98,2,2,2,2,2,2,2,2,2,2,2,2,2
267,4,103,2,2,1,2,1,2,2,2,1,2,2,1,2
268,2,55,2,2,1,2,1,2,1,1,1,1,0,1,0
269,3,73,2,1,2,2,1,1,2,2,1,2,1,1,1
270,3,0,2,1,1,2,1,2,2,2,2,1,1,1,2
271,3,46,2,1,1,1,1,2,1,1,2,2,1,1,0
272,3,87,2,2,2,2,2,1,2,2,2,1,1,2,1
273,3,53,2,1,1,1,2,2,2,2,2,1,2,1,2
274,3,127,2,2,1,1,1,2,2,1,2,2,1,2,2
275,2,78,1,1,1,1,1,2,2,1,1,1,1,1,1
276,3,0,1,2,2,2,1,2,2,1,1,1,2,2,1
277,3,14,2,1,1,1,2,1,1,1,1,1,2,1,1
278,3,1,1,0,1,1,0,1,1,1,1,1,1,1,2
279,3,27,1,2,2,1,1,2,2,1,1,1,2,2,1
280,3,21,2,2,2,2,1,1,2,2,1,1,1,1,1
281,2,38,1,2,2,2,2,2,2,2,2,1,2,1,2
282,3,129,2,2,1,2,1,2,1,1,2,2,1,1,2
283,4,53,1,2,2,2,2,1,2,1,2,1,1,2,2
284,3,61,1,2,2,2,2,2,2,2,1,1,2,2,1
285,2,47,1,2,1,1,1,1,1,1,1,1,1,1,1
286,3,75,2,2,1,2,2,1,2,2,2,2,2,2,2
287,3,83,2,2,2,2,2,2,2,2,2,1,1,2,2
288,2,70,1,1,2,1,1,1,0,0,1,1,1,1,1
289,2,0,1,1,1,1,2,2,1,1,1,1,1,1,1
290,3,24,1,2,1,2,2,2,2,2,2,2,2,2,2
291,2,109,1,1,1,1,1,1,1,0,0,1,1,1,0
292,4,73,2,2,2,2,2,2,2,2,2,2,2,2,2
293,3,25,2,2,1,1,2,2,1,1,2,2,1,1,1
294,2,94,1,1,1,1,2,1,2,1,1,1,1,1,1
295,2,81,1,1,2,2,1,2,2,2,1,2,2,2,2
296,2,98,2,2,1,1,1,1,1,1,1,1,1,2,0
297,3,118,2,2,1,2,2,2,2,1,2,1,1,2,1
298,2,18,2,2,1,2,2,1,1,1,2,2,2,1,1
299,2,25,1,1,2,2,1,1,1,2,2,1,2,0,2
300,2,84,2,1,2,2,1,2,2,2,1,1,1,1,0
301,4,5,2,1,1,1,2,2,2,1,1,1,1,1,1
302,3,2,2,2,2,2,1,2,2,1,2,1,1,1,2
303,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
304,4,93,2,1,1,2,2,2,2,2,2,2,2,2,1
305,3,104,1,1,1,1,2,1,2,1,2,2,1,2,2
306,2,95,1,2,1,2,2,2,1,1,1,1,1,1,1
307,3,55,1,2,2,2,1,1,2,2,2,1,2,1,1
308,4,90,2,2,2,2,2,2,1,1,2,2,2,2,2
309,2,56,2,2,1,2,1,2,1,1,2,2,1,0,2
310,4,0,2,2,1,2,2,2,2,2,2,2,1,2,1
311,3,97,1,2,2,2,1,2,2,2,1,2,1,1,2
312,3,72,1,1,2,1,2,2,2,2,1,2,1,0,1
313,4,59,1,1,2,1,2,2,2,1,1,2,2,2,2
314,2,47,1,1,1,1,1,1,2,1,1,1,0,1,1
315,3,99,2,2,1,1,2,2,2,2,1,1,2,1,2
316,2,46,1,2,2,2,2,2,2,2,2,2,2,2,2
317,3,96,1,2,1,2,2,1,1,2,1,1,1,2,2
318,3,83,1,1,2,1,1,1,2,1,1,1,1,1,1
319,3,32,1,1,1,1,2,1,2,1,2,2,2,1,2
320,2,20,2,1,2,2,2,2,1,1,1,2,2,1,2
321,3,5,1,2,1,2,2,1,1,2,2,1,1,2,2
322,3,76,0,1,1,1,1,1,1,0,1,1,1,1,0
323,3,0,2,1,0,1,2,2,1,2,2,2,1,2,1
324,3,0,2,2,1,2,2,2,2,2,2,2,2,2,2
325,3,33,0,1,1,1,1,1,1,1,1,2,2,2,1
326,3,54,1,2,2,1,1,2,2,2,2,2,2,1,2
327,3,35,1,2,1,2,1,2,1,0,1,1,1,2,1
328,3,79,1,1,1,1,1,1,1,1,1,1,0,1,2
329,2,68,1,2,2,2,1,1,1,1,2,1,1,1,2
330,3,89,2,2,1,2,2,2,2,2,2,2,1,1,2
331,3,10,1,2,1,2,1,2,2,2,2,2,2,2,2
332,3,47,1,2,1,2,1,1,2,1,2,1,1,1,1
333,2,90,1,2,1,2,2,1,1,1,1,1,1,0,1
334,2,34,1,2,1,1,1,1,1,1,1,2,1,1,1
335,3,126,1,1,1,2,1,1,2,1,2,1,2,2,1
336,3,0,2,2,1,2,2,1,1,2,1,2,1,1,1
337,4,0,1,2,2,2,2,2,1,2,2,2,2,2,2
338,2,67,1,2,1,2,1,1,2,2,1,2,2,2,1
339,3,34,2,2,2,2,2,2,2,2,2,2,2,2,1
340,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2
341,3,57,1,2,2,2,2,1,2,1,1,2,1,1,2
342,2,118,1,1,1,2,1,1,1,1,2,1,2,2,1
343,2,46,2,1,1,2,2,2,2,1,1,2,2,2,1
344,1,81,0,1,2,0,0,1,1,1,1,1,0,1,0
345,3,78,2,2,1,2,2,1,2,1,1,1,1,2,2
346,2,33,2,2,1,2,1,2,2,1,1,1,1,2,1
347,2,3,1,1,1,1,1,2,2,2,2,1,2,1,1
348,3,103,2,2,2,2,1,1,1,1,1,1,1,1,1
349,3,96,2,2,2,2,2,2,2,1,2,2,1,1,1
350,4,120,2,2,2,2,0,2,2,1,2,2,2,2,2
351,4,93,2,2,2,1,2,2,2,2,2,1,2,1,2
352,3,48,0,2,1,1,2,1,1,1,1,2,2,1,2
353,3,83,1,2,2,2,2,2,2,2,2,2,2,2,2
354,4,71,2,2,2,2,2,2,2,2,2,2,2,2,1
355,3,147,2,2,2,2,2,2,2,1,1,2,0,1,1
356,4,21,1,1,1,2,2,1,1,1,1,1,1,2,1
357,3,52,0,2,2,2,2,2,2,2,2,2,1,1,1
358,3,121,2,2,2,2,2,2,1,1,2,1,1,1,1
359,4,74,1,2,2,2,2,2,2,2,1,2,2,2,2
360,2,80,0,1,1,1,1,1,1,0,1,1,1,1,1
361,3,99,1,1,2,2,2,1,1,0,1,1,1,0,0
362,4,55,2,2,2,2,2,2,2,2,1,2,2,1,1
363,4,84,2,2,2,2,2,2,2,2,2,2,2,2,2
364,3,53,1,1,2,2,1,2,1,1,2,1,1,2,1
365,2,54,1,1,0,1,2,1,1,0,2,1,1,0,1
366,3,64,2,1,1,2,1,1,1,2,1,1,1,2,1
367,3,0,2,2,2,2,2,2,2,2,1,2,2,2,2
368,3,67,2,2,1,2,2,2,2,2,2,2,2,2,2
369,3,25,1,1,2,1,2,2,2,2,2,2,2,2,2
370,2,0,1,2,2,2,2,2,1,2,1,2,2,2,1
371,0,15,0,1,0,1,2,1,1,0,1,0,0,0,1
372,4,25,2,1,2,2,1,2,1,2,2,2,2,1,2
373,2,12,1,1,1,1,2,1,1,1,1,1,0,0,0
374,2,107,2,1,1,1,1,1,1,1,1,1,2,2,1
375,2,0,1,2,2,2,2,2,1,1,2,2,1,2,1
376,3,10,1,2,2,1,2,1,1,2,2,2,1,2,2
377,3,34,2,2,2,2,2,2,2,2,2,2,2,2,2
378,4,135,1,1,1,1,2,2,2,2,2,2,1,2,2
379,2,21,1,2,1,2,2,2,2,2,2,2,2,1,1
380,4,39,2,2,2,2,1,2,1,2,1,2,2,2,2
381,3,77,2,1,2,2,1,1,2,2,1,2,2,1,2
382,3,138,2,1,2,1,1,1,1,2,2,2,2,2,2
383,4,129,2,2,1,2,2,1,1,1,2,1,1,2,1
384,3,113,2,2,2,2,2,1,2,2,1,2,2,1,1
385,2,0,2,2,2,2,2,2,2,1,1,1,1,1,1
386,2,106,1,1,1,1,2,2,2,2,1,2,2,1,2
387,4,3,2,2,2,2,2,2,2,2,2,1,2,2,2
388,3,136,2,1,1,1,2,2,1,1,2,1,1,2,1
389,3,58,2,2,1,2,1,2,2,1,1,1,2,1,1
390,3,42,1,2,2,2,2,2,2,2,2,2,2,2,1
391,2,0,2,2,1,1,1,2,1,2,2,2,1,1,2
392,3,100,1,1,1,2,1,1,2,1,1,1,1,1,0
393,3,46,2,2,2,2,1,1,2,1,2,1,1,2,2
394,2,36,1,2,1,2,2,2,1,1,1,1,1,0,0
395,4,73,1,2,2,2,1,1,2,1,2,2,2,1,1
396,2,57,2,2,1,2,2,1,1,2,1,2,1,1,2
397,3,28,2,2,1,2,2,1,1,1,1,1,1,1,1
398,4,106,2,2,1,2,2,2,2,1,2,2,2,2,2
399,1,75,2,2,1,2,2,2,2,1,2,1,1,1,1
400,2,113,2,1,1,1,1,2,2,2,2,2,1,1,2
401,4,32,2,2,2,2,1,2,1,2,2,1,2,2,1
402,1,89,1,1,1,2,1,1,1,1,1,1,1,1,1
403,2,26,1,1,1,2,1,2,2,2,1,2,2,1,1
404,3,35,2,1,2,1,1,2,2,2,2,2,2,2,1
405,3,0,2,2,1,1,1,2,2,2,1,1,2,2,2
406,2,123,2,2,1,2,1,1,2,2,2,1,1,2,1
407,2,22,1,2,1,1,1,2,2,2,2,1,1,1,2
408,3,124,1,1,1,1,2,2,1,2,1,1,2,1,1
409,2,58,0,1,1,1,1,1,1,0,1,1,1,1,1
410,2,0,2,2,1,1,2,2,2,1,1,1,1,1,2
411,3,87,1,1,1,1,2,2,1,2,2,2,2,2,2
412,3,0,2,2,2,2,2,2,1,2,2,1,1,1,1
413,1,0,2,2,2,1,1,2,1,2,2,2,1,1,2
414,3,157,2,1,1,1,1,1,1,1,2,1,1,0,0
415,3,48,1,2,1,2,2,1,0,1,2,2,2,2,2
416,2,61,1,2,1,1,1,2,2,1,2,2,1,1,2
417,4,0,2,2,2,1,2,2,1,2,2,1,1,2,2
418,2,116,2,2,2,2,0,1,1,1,2,1,2,1,1
419,2,79,2,2,2,1,2,2,1,1,1,1,2,1,2
420,3,31,1,1,1,2,2,1,1,0,1,1,2,1,1
421,3,125,2,1,2,2,1,1,0,1,1,1,1,1,1
422,2,23,2,2,2,2,2,1,2,1,2,2,1,1,1
423,4,0,2,2,2,2,1,2,2,2,2,2,2,2,2
424,2,0,2,2,1,2,2,2,2,1,1,2,1,2,1
425,1,135,1,1,1,1,1,1,1,1,1,1,2,1,1
426,2,0,0,1,1,2,1,1,1,1,1,0,1,0,0
427,2,66,2,1,2,2,2,1,1,2,2,1,1,2,2
428,3,47,2,2,1,2,1,2,2,1,1,1,0,1,1
429,3,62,2,1,2,2,2,2,2,2,2,1,1,2,1
430,3,83,1,1,1,1,1,2,1,2,1,1,1,2,1
431,3,62,1,1,1,2,2,2,2,2,2,1,1,2,2
432,2,11,2,2,2,2,1,2,1,1,1,1,1,1,2
433,2,0,2,1,2,2,2,1,2,2,1,2,1,2,2
