ID,w3-assessment-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w4-assessment-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13
47,2,84,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1
48,2,77,1,2,1,1,1,1,2,1,1,1,1,1,2,2,105,1,2,2,1,2,2,1,2,1,2,1,2,2
49,2,65,1,2,2,1,1,1,1,1,0,1,1,1,1,2,42,1,2,1,2,1,2,1,2,1,2,1,2,1
50,2,100,1,1,1,1,1,1,1,1,0,1,1,1,1,2,52,2,1,1,1,1,1,1,2,1,1,2,1,2
51,1,76,1,0,1,1,0,1,0,0,1,0,1,0,1,2,3,0,1,1,1,1,1,1,1,2,1,1,2,1
52,1,87,0,0,1,0,1,1,0,0,0,1,0,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2
53,4,88,2,2,2,2,2,1,2,2,2,2,2,2,2,4,117,2,2,2,2,2,2,1,2,2,2,2,2,2
54,1,87,0,1,1,0,0,1,1,1,0,1,1,1,1,2,113,1,2,1,1,2,1,1,2,1,2,2,1,1
55,2,92,1,1,1,1,1,1,1,1,1,1,1,1,1,2,82,1,1,1,1,2,2,1,2,2,1,2,1,2
56,4,21,2,1,2,2,2,2,2,2,2,1,2,2,2,4,59,2,2,2,2,2,2,2,1,2,2,2,2,1
57,4,65,2,2,2,2,2,2,2,2,2,1,2,2,1,4,101,2,2,2,2,2,2,2,2,1,2,2,2,2
58,3,105,2,1,2,1,2,1,2,1,2,2,1,1,2,4,22,2,2,2,2,2,2,2,1,2,2,2,1,2
59,3,9,2,2,1,2,1,2,1,2,1,1,2,2,1,3,106,2,2,2,2,1,2,2,2,1,2,2,2,1
60,3,27,1,2,2,1,1,1,2,2,2,2,1,1,2,4,103,2,2,2,2,2,1,2,2,2,1,2,2,2
61,1,66,1,1,0,1,1,1,0,0,1,1,0,1,0,3,51,1,2,1,1,2,1,1,1,2,2,1,1,2
62,3,107,2,1,1,2,1,2,1,2,1,2,1,1,2,4,25,2,2,2,2,1,2,1,2,1,2,2,2,1
63,4,103,2,2,2,2,2,2,2,2,2,1,2,2,2,4,93,2,2,2,2,2,1,2,2,2,2,1,2,1
64,4,33,2,2,2,2,2,2,2,2,2,1,2,2,2,4,15,2,2,2,2,2,1,2,2,2,1,2,1,2
65,1,46,0,1,1,1,1,1,1,0,1,0,0,1,0,3,93,1,2,2,1,1,2,1,2,1,1,2,1,2
66,3,74,2,1,2,1,2,2,1,1,1,2,1,2,1,4,71,2,2,2,2,2,2,2,2,2,2,2,1,2
67,4,108,2,2,2,2,2,2,2,2,1,2,2,2,2,4,30,2,2,2,2,1,2,2,2,1,2,2,1,2
68,2,33,0,1,1,1,1,1,1,1,1,0,1,1,1,2,119,1,1,1,1,2,1,2,2,1,2,2,2,1
69,3,46,1,2,1,1,1,2,2,1,1,1,1,2,2,4,31,2,2,2,2,2,1,2,2,2,1,2,1,2
70,2,37,1,1,1,1,1,0,1,1,1,1,1,1,1,3,86,1,2,2,2,2,1,2,2,1,2,1,2,1
71,1,94,0,0,0,0,1,1,1,0,0,0,1,0,1,3,116,1,1,2,1,2,1,2,2,1,2,1,2,1
72,1,20,1,0,0,1,0,0,1,0,1,1,0,1,1,2,71,1,1,1,1,1,1,1,2,2,1,1,1,2
73,1,10,0,1,0,1,1,0,1,0,0,1,1,0,0,3,62,2,2,1,1,2,1,1,2,1,1,2,1,1
74,1,62,0,1,1,0,1,0,0,0,1,0,1,1,1,3,80,1,2,2,2,1,2,2,2,1,2,1,1,2
75,3,34,1,2,1,1,1,1,2,1,1,2,2,1,1,3,66,1,2,1,1,2,2,1,2,2,2,2,2,2
76,4,58,2,2,2,2,2,2,2,2,2,1,2,2,2,4,41,2,2,2,2,2,2,2,2,1,2,2,1,2
77,4,29,1,2,2,2,2,2,2,2,2,1,2,2,2,4,18,2,2,2,2,1,2,2,2,1,2,2,2,2
78,3,62,1,1,2,2,1,1,2,1,1,2,1,2,2,4,64,2,2,2,2,2,1,2,2,2,1,2,1,2
79,1,22,0,1,0,0,1,1,0,1,1,0,1,0,1,3,51,1,1,1,1,2,1,1,2,1,2,1,1,2
80,2,9,2,0,1,1,1,1,1,1,0,1,1,1,1,2,20,1,1,1,1,2,1,1,2,2,1,1,1,2
81,4,47,2,2,2,2,2,2,2,2,1,2,2,2,2,4,93,2,2,2,2,2,1,2,2,2,1,2,2,2
82,2,98,0,1,1,1,1,1,1,1,0,1,1,1,1,3,39,1,2,2,1,2,1,1,2,2,1,1,2,1
83,3,117,1,1,2,1,2,2,1,2,2,2,1,1,2,2,94,1,2,2,2,2,2,1,2,2,2,2,2,2
84,3,19,1,2,1,1,1,2,1,2,2,1,2,1,1,3,24,1,1,2,1,2,2,1,2,1,1,2,1,2
85,2,54,1,1,1,1,1,0,1,1,0,1,1,1,1,2,60,1,1,1,1,2,1,1,2,1,2,1,2,1
86,4,25,2,2,2,2,2,2,2,2,2,2,1,2,2,4,45,2,2,2,2,2,1,2,2,2,1,2,2,2
87,3,21,1,2,2,2,1,2,2,2,2,1,1,1,2,3,11,2,1,2,1,1,2,2,1,2,1,1,2,1
88,4,50,2,2,2,2,2,2,2,2,2,1,2,2,1,4,45,2,2,2,2,2,1,2,2,1,2,2,1,2
89,2,19,1,1,1,1,1,1,1,0,1,1,0,1,1,2,9,1,1,1,1,2,1,1,2,2,1,2,1,1
90,3,93,2,2,2,1,2,2,1,2,2,1,2,1,2,4,117,2,2,2,2,2,2,2,2,2,2,1,2,2
91,2,22,1,1,1,1,1,1,1,1,1,1,0,1,1,3,36,1,2,2,1,1,1,1,2,2,1,2,1,2
92,2,75,1,1,1,1,1,1,1,1,1,1,0,1,1,2,61,2,1,1,2,1,2,1,2,2,2,1,2,2
93,4,74,2,2,2,2,2,1,2,2,2,2,2,2,2,4,87,2,2,2,2,2,2,2,2,2,2,1,2,2
94,4,42,2,2,2,2,1,2,2,2,1,2,2,2,2,4,79,2,2,2,2,2,2,2,2,1,2,2,1,2
95,4,13,2,2,1,2,2,2,2,2,1,2,2,2,2,4,10,2,2,2,2,2,1,2,2,2,1,2,1,2
96,2,112,1,2,1,1,1,1,1,1,1,1,1,1,1,2,90,1,2,1,1,1,1,1,2,2,1,1,2,2
97,1,118,1,0,1,0,1,0,1,1,1,0,1,0,1,2,78,1,1,1,1,1,1,1,2,1,2,1,2,1
98,3,89,1,2,1,1,2,1,2,1,2,1,2,2,2,4,66,2,2,2,2,2,2,2,2,2,1,2,2,1
99,1,100,1,1,0,1,1,0,0,0,1,0,1,1,0,2,77,1,1,1,1,2,1,2,1,2,1,1,2,2
100,3,2,1,1,2,2,2,1,1,2,2,2,1,2,2,4,32,2,2,2,2,2,1,2,2,2,2,2,1,2
