ID,assessment-result,reflection-length,item-1,item-2,item-3,item-4,item-5,item-6,item-7,item-8,item-9,item-10,item-11,item-12,item-13
39,1,12,0,1,0,1,0,1,0,1,0,0,1,0,0
40,2,33,1,0,1,1,1,1,1,0,1,1,1,0,1
41,3,91,2,1,2,1,2,2,1,2,1,2,1,1,2
42,4,38,2,2,1,2,2,2,2,1,2,2,1,2,1
43,1,53,1,0,1,0,1,0,1,0,1,0,1,0,1
44,2,27,1,1,0,1,1,1,0,1,1,1,0,1,1
45,3,82,1,2,1,2,1,2,2,1,2,1,1,2,1
46,4,69,2,2,2,2,2,2,1,2,2,1,2,2,1
47,1,35,0,1,0,1,0,1,1,0,0,0,0,1,0
48,2,99,1,1,1,1,1,1,0,1,1,1,0,1,1
49,3,65,2,1,2,2,1,2,2,1,1,2,0,2,1
50,4,59,2,2,2,2,2,1,2,2,1,2,2,2,1
51,1,14,1,0,0,1,0,1,1,0,0,0,1,0,0
52,2,36,1,1,1,1,1,1,1,1,0,1,0,1,1
53,3,71,2,1,2,1,2,1,2,1,1,2,1,2,1
54,4,84,2,2,2,2,2,2,1,2,2,1,2,2,2
55,1,26,0,1,0,1,0,1,0,1,0,0,1,0,1
56,2,63,1,0,1,1,1,1,1,0,1,1,0,1,1
57,3,33,2,1,2,1,1,2,1,2,1,2,1,1,2
58,4,76,2,2,2,2,1,2,2,2,2,1,2,2,1
59,1,48,1,0,1,0,0,1,0,1,0,1,0,1,0
60,2,44,0,1,1,1,1,1,1,1,0,1,1,1,0
61,3,89,2,1,1,2,2,1,2,1,2,1,1,2,1
62,4,57,2,2,2,2,1,2,2,2,2,1,2,2,2
63,1,30,0,1,0,1,0,0,1,0,1,0,0,1,0
64,2,52,1,1,1,0,1,1,1,0,1,1,1,0,1
65,3,60,2,1,2,2,2,1,2,0,2,1,1,2,1
66,4,96,2,2,1,2,2,2,2,2,1,2,2,1,2
67,1,21,0,1,1,0,1,0,1,0,0,0,1,0,0
68,2,42,0,1,1,1,1,1,1,0,1,1,1,0,1
69,3,85,2,1,2,1,1,2,1,2,0,2,1,1,2
70,4,90,2,2,2,2,1,2,2,2,2,1,2,2,1
71,1,11,1,0,0,1,0,1,0,1,0,0,1,0,0
72,2,54,1,1,1,1,1,1,1,0,1,0,1,0,1
73,3,74,2,1,2,1,2,1,2,1,1,2,1,1,2
74,4,61,2,2,2,2,2,1,2,2,2,1,2,2,2
75,1,16,0,1,1,0,0,1,1,0,1,0,0,1,0
76,2,46,1,1,1,1,1,1,0,1,1,1,0,1,1
77,3,93,2,2,1,2,1,2,2,1,2,1,1,2,1
78,4,88,2,2,2,2,2,2,1,2,2,1,2,2,1
79,1,40,1,0,1,0,0,1,1,0,0,0,1,0,1
80,2,23,1,1,1,0,1,1,1,1,0,1,0,1,1
81,3,56,2,1,2,1,2,1,2,1,1,2,1,1,2
82,4,95,2,2,2,2,2,1,2,2,2,1,2,2,2
83,1,34,0,1,0,1,0,0,1,1,0,1,0,1,0
84,2,69,0,1,1,1,1,1,1,0,1,0,1,1,1
85,3,48,1,2,1,2,1,2,1,2,0,2,1,1,2
86,4,82,2,2,1,2,2,2,2,1,2,2,2,1,2
87,1,15,0,1,0,0,1,0,1,0,1,0,1,0,1
88,2,77,1,1,1,1,1,1,1,0,1,1,1,1,0
89,3,53,2,1,2,1,1,2,1,1,2,1,1,2,1
90,4,67,2,2,2,1,2,2,2,2,1,2,1,2,2
91,1,22,1,0,1,0,1,0,0,1,0,0,1,0,1
92,2,58,1,1,1,1,0,1,1,0,1,1,1,0,1
93,3,36,2,1,2,1,2,1,1,2,1,2,1,1,2
94,4,79,2,2,2,2,2,1,2,2,2,1,2,2,2
95,1,20,0,1,1,0,0,1,1,0,1,0,0,1,0
96,2,31,1,1,0,1,1,1,1,0,1,1,0,1,1
97,3,84,1,2,1,2,1,2,2,1,2,1,1,2,1
98,4,71,2,2,2,2,2,1,2,2,2,1,2,2,2
99,1,27,0,1,0,1,0,1,0,1,0,0,1,0,1
100,2,59,1,1,1,1,1,1,0,1,0,1,1,1,0
