ID,w3-assessment-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w3-14,w3-15,w4-assessment-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13,w4-14,w4-15
72,1,41,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,2,73,0,1,1,1,1,1,1,2,1,1,1,2,1,2,0
73,1,18,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,2,113,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1
74,4,107,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,4,77,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2
75,2,10,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,3,24,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1
76,2,0,1,1,1,1,1,1,1,0,1,0,1,1,2,1,1,2,104,1,1,2,2,1,2,1,2,1,2,2,2,2,2,0
77,4,68,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,4,36,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
78,1,119,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,3,109,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1
79,3,86,1,1,2,1,2,1,2,2,2,2,1,2,1,2,2,4,78,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
80,4,43,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,65,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2
81,2,93,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,2,6,1,1,1,1,1,2,1,1,2,1,2,1,2,2,0
82,1,113,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,3,104,1,1,2,1,1,2,1,2,1,2,2,1,2,2,1
83,4,38,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,4,7,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
84,4,32,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,6,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2
85,1,35,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,2,79,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1
86,3,56,1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,3,70,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1
87,3,16,1,2,1,1,2,1,2,1,2,1,1,1,2,2,2,4,52,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
88,1,46,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,2,83,0,1,1,1,2,2,1,2,2,2,1,2,2,2,1
89,3,31,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,3,15,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2
90,3,22,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,4,94,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
91,1,91,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,85,0,1,1,1,2,1,1,2,1,2,1,2,1,2,1
92,3,0,2,2,1,1,1,2,1,1,2,2,1,1,2,2,2,4,34,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2
93,3,40,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,3,75,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2
94,1,81,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,3,113,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1
95,2,77,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,3,31,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1
96,4,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,36,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
97,2,87,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,105,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1
98,3,57,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,4,41,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2
99,1,26,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,3,48,1,1,2,1,1,2,1,2,1,2,2,2,1,2,0
100,1,37,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,2,111,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1
