ID,w3-assessment-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w4-assessment-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13
44,4,75,1,2,2,2,2,1,1,1,1,1,1,2,0,3,46,2,2,2,2,2,1,2,2,2,1,1,2,2
45,2,64,1,1,1,1,1,1,2,1,1,2,0,1,0,2,82,1,1,1,1,2,2,1,1,1,2,1,0,1
46,4,101,1,1,1,1,2,2,2,1,2,1,2,1,1,3,80,1,2,2,2,2,2,1,2,1,1,1,1,2
47,4,114,2,2,2,2,2,2,2,2,2,1,2,2,1,3,45,2,2,2,2,2,1,2,2,1,2,1,2,1
48,3,46,0,1,1,1,1,1,2,2,1,2,1,1,2,3,10,0,1,1,1,1,1,2,1,1,1,2,2,1
49,2,56,0,1,1,1,1,1,2,2,2,1,1,2,2,3,42,1,1,1,1,1,2,1,1,2,2,2,1,1
50,2,43,2,2,1,2,2,2,2,2,2,2,2,2,2,3,31,2,2,1,2,2,1,2,2,2,1,1,1,2
51,3,76,2,2,2,2,2,2,2,2,2,1,1,1,2,3,63,2,2,2,2,2,2,2,2,2,2,1,1,1
52,3,77,2,1,1,1,1,1,2,2,2,2,2,1,2,4,113,2,2,2,2,2,2,2,2,2,2,2,2,1
53,3,71,1,2,1,2,2,2,2,1,2,1,2,1,2,3,57,2,2,2,2,1,1,1,1,1,1,1,1,1
54,2,104,2,2,1,2,2,2,2,2,2,2,2,1,1,3,88,2,2,1,2,2,2,2,2,1,1,0,1,1
55,2,102,1,1,1,1,1,1,1,1,1,2,1,1,1,3,53,2,1,1,2,1,1,1,2,2,2,1,1,1
56,3,0,2,2,2,2,1,2,1,1,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
57,3,140,1,1,2,2,1,1,1,1,1,1,1,1,1,3,53,2,1,2,2,2,2,2,1,2,2,1,1,1
58,4,90,2,1,2,2,1,2,2,1,1,2,2,1,2,4,77,2,2,2,2,2,2,2,2,1,2,1,2,1
59,4,17,2,2,2,2,2,2,2,2,2,2,2,2,2,4,15,2,2,2,2,2,2,2,2,2,2,2,2,1
60,4,97,2,2,2,2,2,1,1,2,2,1,1,2,1,4,71,2,2,2,2,2,2,1,2,1,2,2,2,1
61,3,104,1,1,1,1,1,2,2,1,2,2,1,2,1,3,124,1,1,0,1,1,1,2,1,1,2,1,1,2
62,3,44,1,2,1,1,2,2,2,2,2,2,2,2,1,3,36,1,1,1,1,1,2,2,1,1,2,1,1,1
63,2,38,1,1,1,1,1,1,1,1,1,1,1,1,1,2,54,1,2,2,2,2,1,2,1,1,1,1,1,1
64,2,32,1,2,1,1,2,2,1,1,1,1,1,1,1,2,54,1,2,1,2,2,2,1,1,2,2,2,2,2
65,3,21,1,1,0,2,1,1,1,0,1,1,1,1,0,2,49,2,2,2,2,1,2,2,1,2,1,1,1,1
66,3,16,2,2,1,2,1,2,2,1,2,2,2,2,1,4,111,2,2,1,2,2,2,2,2,2,2,2,2,1
67,3,84,2,2,2,2,2,2,2,1,2,1,1,1,2,4,106,1,2,2,2,2,1,2,2,2,2,1,1,0
68,2,4,2,2,2,1,1,1,1,1,1,1,1,2,1,3,45,2,2,1,1,2,1,1,1,1,1,1,2,2
69,2,46,2,2,2,2,1,2,2,2,2,2,2,0,1,2,40,1,2,1,1,2,1,2,1,1,2,1,1,1
70,2,130,2,2,2,2,2,2,2,2,2,2,2,2,2,4,41,2,2,2,2,2,2,2,2,2,2,1,2,2
71,2,39,1,2,1,1,2,1,1,1,1,1,2,1,1,3,55,1,1,1,1,1,1,1,1,1,1,1,1,1
72,2,77,1,1,1,1,1,0,1,0,0,1,1,1,1,2,35,1,1,1,1,1,2,1,1,1,1,1,1,1
73,2,39,1,1,2,2,1,1,2,2,2,2,1,1,1,3,52,1,2,2,1,1,1,1,1,1,1,1,2,1
74,2,67,1,2,2,2,2,2,2,2,2,2,2,1,1,4,55,1,2,1,2,2,2,2,2,2,2,2,2,2
75,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,23,2,2,2,2,2,2,1,2,2,2,2,2,2
76,2,82,2,2,2,1,2,2,2,2,2,2,2,1,2,4,57,2,2,2,2,2,2,2,2,2,2,2,2,2
77,3,29,2,2,1,2,2,1,2,2,1,2,1,1,1,3,11,1,2,1,2,2,2,2,2,1,1,2,2,2
78,3,23,1,2,2,2,2,2,2,2,1,2,1,1,2,3,14,2,2,2,2,2,2,2,1,2,2,2,2,2
79,4,87,1,2,2,2,2,1,2,2,2,2,2,2,2,3,93,1,1,1,1,1,1,1,2,1,2,1,1,1
80,3,64,1,2,2,1,2,1,2,2,2,1,2,1,2,2,27,1,1,1,1,2,2,1,1,1,1,2,1,2
81,2,20,1,1,1,1,1,2,2,1,2,1,1,1,2,3,15,1,0,1,1,0,1,2,1,1,1,1,1,1
82,2,106,1,2,1,2,2,1,1,0,1,2,1,0,1,4,58,2,2,2,2,2,2,1,1,1,1,1,1,1
83,4,47,2,2,1,1,2,2,2,2,1,1,2,1,2,3,8,1,1,2,1,2,2,1,1,2,2,2,2,1
84,3,33,1,2,2,2,1,2,1,2,2,2,1,2,2,4,34,2,1,2,1,2,2,2,2,2,2,2,2,2
85,3,117,1,1,2,2,2,2,2,2,2,2,2,1,2,4,15,1,1,1,1,2,1,2,2,2,2,1,2,2
86,3,50,1,2,1,1,1,1,2,1,1,2,2,2,1,3,46,2,2,2,1,2,2,1,1,2,2,1,1,1
87,3,104,1,2,1,1,1,1,2,2,1,2,2,2,1,4,51,1,2,2,2,2,2,2,2,2,2,2,2,2
88,3,101,2,2,2,2,2,2,1,2,1,1,2,1,2,3,92,2,2,2,2,2,2,2,1,2,2,2,2,2
89,3,32,2,2,1,1,2,2,2,2,2,2,2,2,1,3,39,2,2,2,2,2,2,2,2,2,2,2,2,1
90,2,51,1,2,1,2,2,2,1,1,1,1,2,1,1,3,16,2,1,2,2,2,2,1,2,1,2,2,2,1
91,3,11,1,2,1,2,2,1,1,2,1,1,2,2,2,4,0,1,2,2,2,2,1,1,2,1,2,2,2,1
92,4,55,1,2,2,2,2,2,2,1,2,2,2,2,2,4,0,1,2,2,2,2,2,2,2,2,2,2,2,2
93,2,38,1,2,1,2,1,1,2,1,1,1,1,1,1,3,98,1,1,1,2,2,2,2,1,2,1,2,1,1
94,3,106,2,2,1,2,2,1,2,1,2,1,1,2,2,3,64,2,2,1,2,1,2,1,2,1,2,2,2,2
95,4,16,2,1,2,1,2,2,2,2,2,2,2,1,2,4,0,2,1,2,1,1,2,1,2,1,2,2,1,1
96,3,0,2,2,2,2,2,2,2,1,2,2,2,1,2,4,2,2,1,2,2,2,1,2,1,1,2,2,1,1
97,3,2,2,2,1,1,1,1,1,1,1,1,1,0,2,4,7,2,2,2,2,2,2,2,2,2,2,2,1,2
98,2,30,2,2,2,2,2,1,2,2,2,1,1,1,2,3,25,2,2,1,2,1,2,2,2,2,2,2,1,1
99,4,60,1,2,2,2,2,2,2,2,2,2,2,2,2,4,70,2,2,2,2,2,2,2,2,2,2,2,2,2
100,3,36,2,2,2,2,1,2,1,2,1,1,1,1,2,3,0,2,2,2,2,2,2,2,2,2,2,2,1,2
101,4,29,1,2,2,2,1,2,2,2,2,2,2,1,2,4,16,1,1,2,1,2,1,1,1,1,2,2,1,1
102,2,74,1,1,1,2,2,1,2,2,1,2,1,2,2,2,27,1,1,1,1,1,1,1,1,1,1,1,1,1
103,2,70,1,1,1,1,0,0,1,1,0,1,0,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
104,2,52,1,1,1,1,1,2,2,2,2,2,1,2,2,3,126,2,2,1,2,2,2,2,2,2,2,2,2,1
105,2,7,2,2,2,2,2,1,1,2,1,2,1,1,1,2,20,1,2,2,2,2,1,1,2,2,2,1,2,2
106,3,88,2,2,2,2,1,1,2,0,1,2,2,1,1,4,65,2,2,2,2,2,2,2,2,2,2,2,2,2
107,3,106,1,2,2,2,1,2,2,1,2,1,1,1,1,4,50,2,2,2,2,2,2,2,2,2,2,2,2,2
108,3,48,2,2,2,1,2,2,2,1,2,2,2,2,2,4,57,2,2,2,2,2,1,2,1,1,2,2,2,2
109,4,79,1,2,1,2,2,2,1,1,2,2,2,2,1,4,47,2,1,1,2,2,2,2,2,2,2,1,1,1
110,1,82,2,2,0,1,2,1,2,2,2,1,1,2,1,3,87,1,2,2,2,1,1,1,1,1,2,2,2,1
111,3,93,1,1,1,1,2,2,2,2,2,2,1,1,1,4,29,2,2,2,2,2,1,2,2,2,2,2,1,2
112,3,0,2,2,2,2,2,1,2,1,1,2,2,2,2,1,9,1,1,0,0,1,1,1,0,0,1,1,0,1
113,3,46,2,1,2,1,1,1,1,2,2,1,1,1,1,4,19,2,2,2,2,1,2,2,2,2,1,2,1,2
114,3,89,2,1,1,1,2,2,1,2,2,1,1,2,2,3,7,1,1,1,1,2,2,1,1,1,1,1,1,1
115,3,130,1,2,1,2,1,2,1,1,2,2,1,1,1,2,97,1,2,1,2,2,1,1,2,2,1,1,1,0
116,3,12,2,2,2,1,2,2,2,2,1,2,2,1,2,4,76,2,1,1,2,2,2,2,1,1,1,2,1,1
117,4,48,1,1,2,2,1,2,2,2,2,1,1,2,1,2,32,1,2,1,1,2,2,2,1,2,2,2,1,2
118,3,27,1,2,2,2,2,2,2,2,2,1,2,2,2,3,23,1,2,2,2,2,2,2,2,2,2,2,2,2
119,2,54,1,1,1,1,1,2,1,1,1,2,1,1,1,4,56,2,1,1,2,2,2,2,2,2,2,2,2,2
120,3,45,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,2,2,1,2,1,2,1,2,2,2,2,2,2
121,3,43,2,2,2,2,2,2,2,2,2,2,1,1,1,4,57,2,2,2,2,2,2,2,2,2,2,2,2,2
122,2,0,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
123,3,86,2,2,1,2,1,1,1,2,2,1,1,1,1,4,70,2,2,2,2,2,2,2,2,2,2,1,2,2
124,2,117,1,2,1,2,2,2,2,2,2,2,1,2,2,3,0,1,2,2,2,1,2,2,1,1,2,1,2,2
125,3,11,2,1,1,1,1,1,2,2,2,1,1,2,2,3,0,2,2,1,1,2,2,2,2,2,2,1,2,2
126,4,31,2,1,1,2,1,1,2,2,1,2,1,1,1,3,69,2,2,1,2,2,2,2,2,2,2,2,2,1
127,1,59,1,2,2,2,1,0,1,1,1,2,1,1,1,2,39,1,0,1,0,2,2,1,1,1,1,1,1,0
128,2,7,2,2,2,2,2,1,2,2,2,2,1,1,1,4,15,2,2,2,2,2,2,2,1,2,2,2,2,2
129,4,39,2,2,2,2,2,2,2,2,2,1,2,1,2,3,35,2,2,1,2,2,2,2,2,2,1,1,2,2
130,4,63,1,2,1,2,2,1,2,1,2,1,2,1,2,4,41,2,2,2,2,2,2,2,2,2,2,2,2,2
131,3,54,2,2,2,2,2,2,2,1,2,2,2,2,2,3,47,2,2,2,2,2,2,2,1,1,2,1,1,2
132,3,70,1,2,1,2,1,2,2,2,1,1,2,1,1,2,37,1,1,1,1,1,1,1,1,1,1,1,1,2
133,2,71,2,2,1,2,2,2,2,2,2,2,1,1,1,3,121,2,2,1,2,2,2,2,2,1,2,2,2,1
134,2,0,1,2,1,2,2,2,2,0,2,2,1,1,0,2,17,1,1,2,2,2,1,1,0,1,1,1,0,1
135,3,80,2,2,1,2,1,2,2,2,2,2,2,2,2,2,110,1,1,1,1,1,1,1,2,2,2,1,1,1
136,3,97,2,2,2,2,2,2,2,2,2,2,2,2,2,3,45,2,2,2,2,1,2,1,2,2,2,2,2,1
137,3,28,2,2,2,2,2,2,2,1,1,2,2,2,1,3,28,2,2,1,2,1,1,1,1,2,2,2,1,2
138,3,24,2,2,2,2,2,2,1,2,2,2,2,2,1,3,35,2,2,1,2,2,2,2,2,1,1,2,1,1
139,3,60,0,1,1,1,1,1,1,2,1,1,1,1,1,3,0,1,2,1,2,1,2,2,1,1,1,1,1,1
140,3,125,2,2,2,2,2,2,2,2,2,2,1,2,1,2,116,2,2,2,2,2,1,1,1,1,1,1,1,0
141,1,113,2,2,2,1,0,2,2,1,2,2,2,1,1,3,87,1,1,1,2,2,1,2,1,1,1,1,0,0
142,3,44,2,2,1,2,2,2,2,2,2,1,1,2,1,2,0,2,2,2,2,1,1,1,1,1,1,2,1,1
143,3,0,1,2,2,1,1,2,1,1,2,1,2,1,2,4,0,1,1,1,2,1,2,2,2,2,2,2,2,2
144,2,55,1,2,1,2,2,2,2,1,2,1,1,1,0,3,42,1,2,1,1,1,2,2,1,2,1,1,1,2
145,4,65,1,2,2,2,2,2,2,2,2,1,1,2,2,3,0,2,2,1,1,1,1,1,1,2,2,2,2,1
146,4,49,1,1,2,2,2,1,2,1,2,2,1,1,2,4,45,2,2,2,2,2,2,2,2,2,2,1,2,1
147,1,151,1,1,0,2,1,1,1,1,0,1,1,0,1,2,66,1,2,1,2,2,1,1,1,0,1,0,0,1
148,1,8,2,1,1,1,1,1,1,1,1,2,0,1,0,3,4,2,2,1,2,2,2,2,1,1,2,2,2,2
149,3,8,1,1,1,1,2,1,1,1,1,2,2,2,1,3,60,2,2,2,2,2,2,2,1,1,1,1,1,2
150,2,88,1,2,1,2,2,1,2,2,2,1,1,1,1,2,74,1,1,1,1,2,2,2,1,2,2,1,1,1
151,3,76,2,2,1,2,2,2,2,1,1,2,2,2,2,4,20,1,2,2,2,2,2,2,2,2,2,2,2,1
152,2,72,1,2,2,2,1,1,1,2,2,2,1,1,1,3,81,1,1,1,2,1,2,2,2,2,2,2,2,1
153,1,62,1,1,1,2,1,1,2,0,2,2,0,1,1,3,23,1,1,1,2,1,1,2,1,2,1,1,1,2
154,2,92,1,0,0,1,1,1,1,2,1,1,1,1,1,3,48,2,2,1,2,2,2,1,2,1,1,1,1,2
155,3,103,1,2,1,2,1,2,2,2,2,2,2,2,2,4,36,2,2,2,1,1,1,1,1,1,2,2,2,1
156,2,66,0,1,1,2,1,1,1,1,1,1,1,1,2,2,4,0,1,1,1,1,1,1,1,1,1,1,0,1
157,2,84,1,2,1,1,0,1,1,2,1,1,0,1,1,2,9,1,2,1,2,2,2,1,1,1,1,1,1,1
158,3,49,2,1,2,1,1,1,1,1,2,1,1,1,1,3,59,2,2,1,2,1,1,1,2,1,1,1,2,1
159,2,75,2,2,2,1,2,1,1,1,2,1,1,1,1,4,65,2,2,1,2,2,1,2,1,2,1,1,2,1
160,2,0,1,2,2,2,2,1,0,1,1,1,1,1,2,3,0,2,2,2,2,1,1,1,1,1,2,1,2,2
161,2,49,2,2,2,2,1,1,1,1,2,2,1,2,0,2,86,1,2,1,2,2,1,2,1,1,1,2,1,1
162,3,23,1,2,1,2,2,1,1,1,1,1,1,2,2,4,0,2,2,2,1,2,1,1,2,2,2,2,2,2
163,4,71,2,2,2,2,1,2,2,2,2,1,2,1,1,4,38,2,1,2,2,1,1,2,1,1,1,1,1,1
164,2,29,1,2,1,1,1,1,2,1,2,1,2,1,1,3,31,1,1,1,1,2,1,1,1,1,2,1,1,2
165,3,26,1,2,2,1,2,1,1,2,2,1,2,1,1,3,87,2,2,2,2,2,2,2,2,2,2,2,2,2
166,3,82,2,2,2,1,1,2,1,1,2,1,1,1,1,3,63,2,2,1,1,2,2,1,1,2,1,2,1,1
167,2,162,1,2,1,2,1,2,2,2,2,2,2,2,2,2,95,2,1,1,1,1,1,2,2,1,1,0,1,1
168,3,30,2,2,2,2,1,2,2,2,2,2,1,1,2,4,35,2,2,2,2,2,1,2,1,2,2,2,1,2
169,4,127,2,2,2,2,2,2,2,2,2,2,2,2,1,4,79,2,2,2,2,2,2,2,2,2,2,2,2,2
170,3,131,2,2,2,1,1,2,1,1,2,1,2,1,1,3,66,1,2,2,2,2,1,1,2,1,1,1,1,2
171,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,21,2,1,1,1,2,2,2,2,2,2,2,2,2
172,2,33,1,0,1,1,1,1,1,1,1,2,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1
173,3,91,2,2,2,2,2,2,2,2,2,2,2,2,2,4,44,2,2,2,2,2,2,2,2,2,2,2,2,2
174,3,0,2,2,1,1,1,2,2,1,1,2,2,2,1,3,2,2,2,2,2,2,1,2,1,1,2,1,1,1
175,3,62,2,2,2,2,2,1,2,1,1,2,1,1,0,2,61,2,2,2,2,1,1,1,1,2,2,1,2,2
176,3,36,2,2,1,2,2,1,2,2,2,2,1,1,1,2,10,1,2,1,1,1,1,1,1,1,1,1,1,1
177,3,40,2,2,1,2,1,2,2,2,2,2,1,1,1,3,13,2,2,2,2,2,1,2,1,1,2,2,1,2
178,3,38,2,2,2,2,1,1,2,1,1,2,2,1,1,3,2,1,2,2,2,2,1,2,1,1,1,2,1,1
179,2,59,1,2,1,2,1,1,1,1,2,1,2,1,2,2,58,1,1,1,2,1,1,1,1,1,1,1,1,1
180,2,60,2,2,2,2,2,2,2,2,1,2,2,1,1,4,33,2,2,2,2,2,2,2,2,2,2,2,2,2
181,3,8,2,2,2,2,1,2,1,2,2,2,2,2,1,3,44,2,2,1,2,2,2,2,2,2,2,2,2,2
182,3,104,2,2,2,2,1,1,1,1,1,0,0,2,1,4,48,2,2,2,2,2,1,2,2,2,2,2,2,2
183,3,0,1,2,1,2,1,2,1,1,2,2,2,1,2,4,0,2,2,2,2,2,2,2,2,2,2,2,2,1
184,2,51,1,2,1,2,1,2,1,2,2,2,1,1,1,3,81,2,2,2,2,2,2,2,1,2,1,2,2,2
185,3,26,1,2,1,1,1,2,2,2,1,2,2,1,2,2,0,1,0,1,1,1,1,1,0,1,1,1,1,1
186,3,46,1,1,0,1,0,1,1,2,1,1,1,1,2,2,27,2,1,1,1,1,1,1,1,1,1,1,1,0
187,2,26,2,2,1,2,1,2,1,0,1,1,2,2,1,2,45,2,2,1,1,2,2,1,1,2,1,1,1,1
188,3,137,2,2,2,2,2,2,2,2,1,2,1,2,1,4,34,2,2,2,2,2,2,2,2,2,2,2,2,2
189,3,43,2,2,1,2,1,1,1,0,1,1,2,1,0,4,40,2,2,2,2,2,2,2,1,2,1,2,2,2
190,1,27,2,2,0,2,1,1,1,0,1,2,1,1,1,3,87,2,2,2,2,2,1,2,1,2,2,1,1,1
191,3,118,1,1,1,1,1,1,2,1,1,1,1,1,1,2,47,2,1,1,1,1,1,1,1,1,1,1,1,1
192,4,0,1,1,2,2,1,1,1,2,1,1,1,2,2,4,0,1,1,2,1,1,1,2,2,1,2,1,2,2
193,3,25,1,1,1,1,2,1,1,1,2,1,1,2,1,3,78,1,1,1,1,1,1,1,0,1,1,1,0,1
194,3,14,2,2,2,2,1,2,2,2,2,2,2,2,2,4,47,2,2,1,2,2,2,2,2,2,1,2,2,1
195,2,95,1,1,1,1,1,2,2,2,2,2,1,1,1,3,32,1,2,2,2,1,2,2,1,2,2,1,1,2
196,2,0,1,2,2,2,2,2,1,2,2,1,1,2,1,3,0,2,2,2,2,2,2,2,2,2,2,1,2,2
197,2,38,1,1,1,1,1,1,1,1,1,2,2,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0
198,2,142,2,1,0,2,1,2,1,1,2,1,1,2,1,3,86,2,2,2,2,2,2,2,1,2,1,1,1,2
199,3,92,2,1,1,1,2,1,1,1,1,2,2,1,1,3,51,2,1,1,2,2,2,2,2,2,2,2,2,2
200,2,97,1,1,0,1,1,1,1,1,1,1,1,1,2,3,37,2,2,2,2,2,1,1,2,2,2,1,2,2
201,3,43,1,2,2,2,1,2,1,2,2,2,1,2,2,4,57,1,2,1,2,2,2,2,2,2,2,2,2,2
202,3,85,2,2,1,2,2,2,1,2,2,1,1,1,2,4,116,2,2,2,2,2,2,2,1,2,2,2,1,1
203,3,63,1,2,2,2,2,2,2,2,2,2,2,2,1,3,50,2,2,1,2,1,2,2,2,2,2,2,2,2
204,3,27,2,2,1,2,2,2,2,2,2,1,2,1,1,3,37,2,1,1,2,1,2,1,1,1,1,1,1,1
205,3,27,2,2,1,2,1,1,1,1,1,2,1,2,0,3,62,1,1,1,1,2,1,2,2,2,1,1,1,2
206,4,90,2,2,1,2,2,1,1,2,1,1,1,1,1,3,71,2,2,2,2,2,2,2,1,2,2,2,2,1
207,3,87,2,2,1,2,1,2,2,2,2,1,1,2,1,3,64,1,2,1,2,2,1,2,2,2,2,2,2,2
208,3,0,1,1,1,1,1,2,2,1,1,2,2,1,1,3,33,2,1,2,2,1,1,2,2,1,2,2,1,1
209,3,45,1,1,1,1,1,2,2,2,2,2,1,1,1,4,0,2,2,2,2,2,1,2,2,2,2,2,2,2
210,3,82,0,1,0,2,1,1,1,1,1,1,2,1,1,2,48,1,0,1,1,1,1,1,1,0,1,0,1,1
211,3,76,0,0,1,1,0,1,1,0,1,1,0,1,1,2,50,0,1,1,1,1,1,1,1,1,0,1,1,1
212,3,35,1,2,1,1,1,2,1,2,1,2,2,1,1,3,0,1,1,1,1,1,2,1,2,1,2,2,2,1
213,3,121,2,2,2,2,2,2,2,1,2,1,0,1,1,3,57,1,1,1,1,1,1,1,1,1,2,1,2,1
214,4,81,2,2,2,2,2,2,2,2,2,2,2,2,2,4,33,2,2,2,2,2,2,2,2,2,2,2,2,2
215,3,4,1,1,1,2,1,1,2,2,2,2,2,2,2,4,38,2,2,1,2,2,2,2,2,2,2,2,2,1
216,2,100,1,1,0,1,1,0,1,1,0,1,1,0,0,2,74,1,1,0,1,1,1,1,0,0,1,0,0,0
217,3,141,1,1,1,1,2,1,2,2,2,1,1,2,0,3,101,2,2,1,1,2,2,2,2,2,2,1,1,2
218,3,34,1,1,2,1,1,1,1,1,1,0,1,1,2,3,0,2,2,1,2,2,1,1,1,2,1,2,1,2
219,2,152,0,1,1,2,1,1,2,1,1,1,1,1,0,3,103,1,2,2,2,2,1,2,1,2,2,1,2,1
220,3,69,2,1,1,2,1,2,2,2,2,2,2,2,2,3,76,1,2,1,2,2,2,2,2,1,1,1,2,1
